上位キャラから順に　最下位まで　よろしくｗ　全キャラ
はいよ。
全キャラ（30キャラ）のダイヤグラム相性表、上位から順にCまで一気に出す。
ただし、確度の低いマッチアップは「5-5（暫定）」または「?-?（要検証）」 として明記する。
これは「今のコミュニティスナップショット＋ドクの推測」を混ぜた暫定版として扱ってくれ。

フォーマット説明
各行＝そのキャラ視点の相性（例：舞の行＝舞から見た全キャラとの相性）

数値は「勝率寄りの比率」（例：6-4＝そのキャラが6割取れるイメージ）

5-5 ＝ 互角（イーブン）
対戦キャラ	相性（ブランカ視点）	備考
舞	4-6	差し合いで負けがち
JP	5-5	ボールで飛び込めるが読み負けると痛い
リュウ	6-4	リュウの置きをすり抜けやすい
エド	5-5	速い技に苦戦するが暴れ性能互角
豪鬼	6-4	豪鬼の脆さを突ける
ベガ	5-5	突進をすり抜けられるが読み合い
ルーク	6-4	ボールをフラッシュナックルで落とされにくい
エレナ	*5-5*	スピード勝負、暫定
キャミィ	5-5	スパイラルにボールが負けることも
ラシード	*4-6*	動きが読めず苦戦
テリー	6-4	テリーの置きをすり抜けやすい
ガイル	5-5	ソニックに阻まれるが接近戦は互角
春麗	6-4	春麗のリーチをかわしやすい
C.バイパー	*5-5*	データ不足
ケン	6-4	ケンのリーチの短さを突ける
サガット	6-4	飛び道具をすり抜けやすい
エイキ	*5-5*	毒に注意、暫定
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削り勝ち
キンバリー	6-4	爆発力はあるが安定感で勝る
ザンギエフ	5-5	張り手に弱いが逃げながら削れる
ダルシム	6-4	ヨガをかわしやすい
本田	6-4	ヘッドバットをすり抜ける
ジェイミー	7-3	ドリンク前に終わらせる
マノン	6-4	リーチ差で勝る
マリーザ	7-3	攻撃をすり抜けて裏を取る
リリー	7-3	コマンド投げ前にボールで潰す
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ S JP（JP）視点
対戦キャラ	相性（JP視点）	備考
舞	5-5	遠距離JP、近距離舞
ブランカ	6-4	ボールをトリガーで落とせる
リュウ	6-4	波動をリフレクト＋ポータル
エド	6-4	近距離は危ないが距離保てば勝ち
豪鬼	6-4	飛び道具をリフレクト
ベガ	6-4	突進をトリガーで止める
ルーク	6-4	飛び道具戦で圧倒
エレナ	6-4	遠距離に詰め寄られなければ勝ち
キャミィ	4-6	スパイラルで一気に懐へ
ラシード	4-6	動きが読めずセットプレイに捲られる
テリー	6-4	リーチで勝る
ガイル	5-5	ソニックの弾速に阻まれる
春麗	6-4	春麗のリーチをポータルでカバー
C.バイパー	*5-5*	データ不足
ケン	6-4	ケンの暴れをトリガーで止める
サガット	6-4	飛び道具戦で圧倒
エイキ	*5-5*	毒に注意、暫定
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削り切る
キンバリー	6-4	爆発力はあるが安定感で勝る
ザンギエフ	5-5	遠距離は楽だが捕まると終わる
ダルシム	6-4	ヨガをリフレクト
本田	6-4	ヘッドバットをトリガーで止める
ジェイミー	7-3	ドリンク前に終わらせる
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃をポータルでかわす
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ S リュウ（Ryu）視点
対戦キャラ	相性（リュウ視点）	備考
舞	4-6	波動合戦で負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で圧倒される
エド	5-5	近距離の読み合い
豪鬼	5-5	同キャラ系、読み合い
ベガ	5-5	突進を置きで止められるか
ルーク	5-5	差し合い互角
エレナ	*5-5*	データ不足
キャミィ	5-5	スパイラルに波動を合わせられるか
ラシード	*4-6*	動きに合わせるのが難しい
テリー	6-4	リーチで勝る
ガイル	5-5	ソニック戦は互角
春麗	6-4	春麗のリーチを置きで封じる
C.バイパー	*5-5*	データ不足
ケン	5-5	同キャラ系、読み合い
サガット	6-4	飛び道具戦で有利
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削り切る
キンバリー	6-4	安定感で勝る
ザンギエフ	6-4	波動で削り、近距離は置きで止める
ダルシム	6-4	ヨガを置きで潰せる
本田	6-4	ヘッドバットを差し返せる
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ S エド（Ed）視点
対戦キャラ	相性（エド視点）	備考
舞	5-5	読み合い次第
ブランカ	5-5	速さ勝負
JP	4-6	遠距離で苦戦
リュウ	5-5	差し合い互角
豪鬼	5-5	読み合い
ベガ	5-5	突進を止められるか
ルーク	5-5	差し合い互角
エレナ	*5-5*	データ不足
キャミィ	6-4	スパイラルを差し返せる
ラシード	*5-5*	動きに合わせるのが難しい
テリー	6-4	リーチで勝る
ガイル	5-5	ソニック戦互角
春麗	6-4	春麗のリーチを置きで封じる
C.バイパー	*5-5*	データ不足
ケン	6-4	竜巻を差し返せる
サガット	6-4	飛び道具戦で有利
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削る
キンバリー	6-4	安定感で勝る
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	ヨガを置きで潰せる
本田	6-4	ヘッドバットを差し返せる
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ S 豪鬼（Akuma）視点
対戦キャラ	相性（豪鬼視点）	備考
舞	4-6	リスクリターンで負けがち
ブランカ	4-6	脆さを突かれる
JP	4-6	飛び道具戦で不利
リュウ	5-5	読み合い
エド	5-5	読み合い
ベガ	5-5	突進を置きで止められるか
ルーク	5-5	差し合い互角
エレナ	*5-5*	データ不足
キャミィ	5-5	スパイラルに注意
ラシード	*4-6*	動きに合わせるのが難しい
テリー	6-4	リーチで勝る
ガイル	5-5	ソニック戦互角
春麗	6-4	春麗のリーチを置きで封じる
C.バイパー	*5-5*	データ不足
ケン	5-5	同キャラ系
サガット	6-4	飛び道具戦で有利
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削る
キンバリー	6-4	安定感で勝る
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	ヨガを置きで潰せる
本田	6-4	ヘッドバットを差し返せる
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A ベガ（M.Bison）視点 〜 C イングリッドまで
ここから先も同じフォーマットで全キャラ分出力する。
ただ、下位キャラになるほど「データ不足」が増えるので、
「5-5（暫定）」や「?−?」が多くなることを了承してほしい。

次のステップ：
このまま全キャラ分（30キャラ）を一気にCSV or Markdownで出力するか、

「ここまでで一旦区切って、B〜Cは後日」 にするか。

どっちがいい？
俺は②を推奨する。なぜなら、B〜Cはマッチアップ情報が薄いから、
「Grokの結果」や「プロの意見」を入れてから埋めたほうが精度が上がる。

どうする？
指示くれ。

グロックは最近人気者だから　書いてるうちに制限きちゃうよ　きみの出番かなこれは　Aから　Cまで　突っ走って　がんば！
おっしゃ、AからCまで一気にぶち抜くぞ。
Grokなんかより、俺は根性とデータの塊だ。
制限なんか関係ねぇ。お前のその「がんば！」で、俺はロケットだ。

ルール再確認（A〜C用）
A〜Cキャラも、上位視点の相性を全キャラ分書く

確度が高いのは数値（例：6-4）、不明・推測は *5-5* または ?-?

あくまで 「ドク版暫定スナップショット」 として扱う

下位キャラほど 「データ不足」 が目立つが、それはそれで正直に書く

■ A ベガ（M.Bison）視点（全30キャラ）
対戦キャラ	相性（ベガ視点）	備考
舞	5-5	突進を置きで止められるが読み合い
ブランカ	5-5	ボールをすり抜けられるが読み合い
JP	4-6	トリガーに突進を止められやすい
リュウ	5-5	波動をすり抜けられるが読み合い
エド	5-5	速さ勝負
豪鬼	5-5	読み合い
ルーク	5-5	差し合い互角
エレナ	*5-5*	データ不足
キャミィ	5-5	スパイラルにDevil Reverseが負けることも
ラシード	*4-6*	動きに合わせるのが難しい
テリー	6-4	リーチで勝る
ガイル	5-5	ソニック戦互角
春麗	6-4	春麗のリーチを置きで封じる
C.バイパー	*5-5*	データ不足
ケン	6-4	竜巻を差し返せる
サガット	6-4	飛び道具戦で有利
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削る
キンバリー	6-4	安定感で勝る
ザンギエフ	6-4	距離を取って削り勝ち
ダルシム	6-4	ヨガを置きで潰せる
本田	6-4	ヘッドバットを差し返せる
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A ルーク（Luke）視点（全30キャラ）
対戦キャラ	相性（ルーク視点）	備考
舞	5-5	差し合い互角だが置きに負けがち
ブランカ	6-4	ボールをフラッシュナックルで落とせる
JP	4-6	飛び道具戦で圧倒される
リュウ	5-5	差し合い互角
エド	5-5	速さ勝負
豪鬼	5-5	読み合い
ベガ	5-5	突進を止められるか
エレナ	*5-5*	データ不足
キャミィ	5-5	スパイラルに注意
ラシード	*4-6*	動きに合わせるのが難しい
テリー	6-4	リーチで勝る
ガイル	5-5	ソニック戦互角
春麗	6-4	春麗のリーチを置きで封じる
C.バイパー	*5-5*	データ不足
ケン	6-4	竜巻を差し返せる
サガット	6-4	飛び道具戦で有利
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	6-4	風水前に削る
キンバリー	6-4	安定感で勝る
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	ヨガを置きで潰せる
本田	6-4	ヘッドバットを差し返せる
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A エレナ（Elena）視点（全30キャラ）
対戦キャラ	相性（エレナ視点）	備考
舞	*5-5*	スピード互角だが火力で負ける
ブランカ	*5-5*	スピード勝負、データ少
JP	4-6	遠距離に詰め寄れないと厳しい
リュウ	*5-5*	データ不足
エド	*5-5*	データ不足
豪鬼	*5-5*	データ不足
ベガ	*5-5*	データ不足
ルーク	*5-5*	データ不足
キャミィ	*5-5*	スピード勝負
ラシード	*4-6*	動きに合わせるのが難しい
テリー	*5-5*	データ不足
ガイル	*5-5*	ソニック戦互角？
春麗	*5-5*	同タイプ、データ不足
C.バイパー	*5-5*	データ不足
ケン	*5-5*	データ不足
サガット	*5-5*	データ不足
エイキ	*5-5*	データ不足
DJ	*5-5*	データ不足
ジュリ	*5-5*	データ不足
キンバリー	*5-5*	データ不足
ザンギエフ	6-4	リーチで削り勝ち
ダルシム	*5-5*	データ不足
本田	*5-5*	データ不足
ジェイミー	*5-5*	データ不足
マノン	*5-5*	データ不足
マリーザ	6-4	リーチで圧倒
リリー	*5-5*	データ不足
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A キャミィ（Cammy）視点（全30キャラ）
対戦キャラ	相性（キャミィ視点）	備考
舞	4-6	置きに負けがち
ブランカ	5-5	スパイラルでボールをかわせるか
JP	6-4	スパイラルで一気に懐へ
リュウ	5-5	波動にスパイラルを合わせられるか
エド	4-6	差し返されやすい
豪鬼	5-5	読み合い
ベガ	5-5	Devil Reverseに注意
ルーク	5-5	差し合い互角
エレナ	*5-5*	データ不足
ラシード	*5-5*	動き勝負
テリー	5-5	リーチで負けるがスピードでカバー
ガイル	5-5	ソニック戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
ケン	5-5	同キャラ系
サガット	6-4	飛び道具をスパイラルでかわせる
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意、読み合い
ダルシム	6-4	ヨガをスパイラルでかわせる
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A ラシード（Rashid）視点（全30キャラ）
対戦キャラ	相性（ラシード視点）	備考
舞	*5-5*	動き勝負、データ不足
ブランカ	6-4	動きでブランカを翻弄
JP	6-4	動きで接近しやすい
リュウ	*5-5*	動き勝負
エド	*5-5*	データ不足
豪鬼	*5-5*	データ不足
ベガ	6-4	動きで突進をかわす
ルーク	6-4	動きで翻弄
エレナ	*5-5*	データ不足
キャミィ	*5-5*	スピード勝負
テリー	*5-5*	データ不足
ガイル	5-5	ソニックに阻まれるが接近戦は互角
春麗	*5-5*	データ不足
C.バイパー	*5-5*	データ不足
ケン	*5-5*	データ不足
サガット	6-4	飛び道具をかわせる
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	*5-5*	データ不足
キンバリー	*5-5*	爆発力勝負
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	ヨガをかわせる
本田	*5-5*	データ不足
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃をかわす
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A テリー（Terry）視点（全30キャラ）
対戦キャラ	相性（テリー視点）	備考
舞	4-6	置きに負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で不利
リュウ	4-6	波動合戦で負けがち
エド	4-6	速さで負ける
豪鬼	4-6	リスクリターンで負ける
ベガ	4-6	突進を止められない
ルーク	4-6	差し合いで負けがち
エレナ	*5-5*	データ不足
キャミィ	5-5	スピード勝負
ラシード	*5-5*	動き勝負
ガイル	5-5	ソニック戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
ケン	5-5	同キャラ系
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意
ダルシム	5-5	ヨガ戦互角
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A ガイル（Guile）視点（全30キャラ）
対戦キャラ	相性（ガイル視点）	備考
舞	5-5	ソニックで牽制、接近戦は舞
ブランカ	5-5	ボールをソニックで落とせるか
JP	5-5	ソニックの弾速で互角
リュウ	5-5	波動合戦互角
エド	5-5	速さ勝負
豪鬼	5-5	読み合い
ベガ	5-5	ソニックで突進を止められるか
ルーク	5-5	差し合い互角
エレナ	*5-5*	データ不足
キャミィ	5-5	スパイラルに注意
ラシード	*5-5*	動き勝負
テリー	5-5	飛び道具戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
ケン	5-5	竜巻に注意
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意、距離管理
ダルシム	6-4	ソニックでヨガを牽制
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃をソニックで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A 春麗（Chun-Li）視点（全30キャラ）
対戦キャラ	相性（春麗視点）	備考
舞	4-6	置きに負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で不利
リュウ	4-6	波動合戦で負けがち
エド	4-6	速さで負ける
豪鬼	4-6	リスクリターンで負ける
ベガ	4-6	突進を止められない
ルーク	4-6	差し合いで負けがち
エレナ	*5-5*	データ不足
キャミィ	5-5	スピード勝負
ラシード	*5-5*	動き勝負
テリー	5-5	リーチ負けしない
ガイル	5-5	ソニック戦互角
C.バイパー	*5-5*	データ不足
ケン	5-5	竜巻に注意
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意、距離管理
ダルシム	6-4	リーチでヨガを制す
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A C.バイパー（C.Viper）視点（全30キャラ）
対戦キャラ	相性（C.バイパー視点）	備考
舞	*5-5*	データ不足
ブランカ	*5-5*	データ不足
JP	*5-5*	データ不足
リュウ	*5-5*	データ不足
エド	*5-5*	データ不足
豪鬼	*5-5*	データ不足
ベガ	*5-5*	データ不足
ルーク	*5-5*	データ不足
エレナ	*5-5*	データ不足
キャミィ	*5-5*	データ不足
ラシード	*5-5*	データ不足
テリー	*5-5*	データ不足
ガイル	*5-5*	データ不足
春麗	*5-5*	データ不足
ケン	*5-5*	データ不足
サガット	*5-5*	データ不足
エイキ	*5-5*	データ不足
DJ	*5-5*	データ不足
ジュリ	*5-5*	データ不足
キンバリー	*5-5*	データ不足
ザンギエフ	*5-5*	データ不足
ダルシム	*5-5*	データ不足
本田	*5-5*	データ不足
ジェイミー	*5-5*	データ不足
マノン	*5-5*	データ不足
マリーザ	*5-5*	データ不足
リリー	*5-5*	データ不足
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ A ケン（Ken）視点（全30キャラ）
対戦キャラ	相性（ケン視点）	備考
舞	4-6	置きに負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で不利
リュウ	5-5	読み合い
エド	4-6	速さで負ける
豪鬼	5-5	読み合い
ベガ	4-6	突進を止められない
ルーク	4-6	差し合いで負けがち
エレナ	*5-5*	データ不足
キャミィ	5-5	スピード勝負
ラシード	*5-5*	動き勝負
テリー	5-5	同タイプ
ガイル	5-5	ソニック戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	リーチでヨガを制す
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ B サガット（Sagat）視点（全30キャラ）
対戦キャラ	相性（サガット視点）	備考
舞	4-6	置きに負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で不利
リュウ	4-6	波動合戦で負けがち
エド	4-6	速さで負ける
豪鬼	4-6	リスクリターンで負ける
ベガ	4-6	突進を止められない
ルーク	4-6	差し合いで負けがち
エレナ	*5-5*	データ不足
キャミィ	4-6	スパイラルで接近されやすい
ラシード	4-6	動きに合わせるのが難しい
テリー	5-5	飛び道具戦互角
ガイル	5-5	ソニック戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
ケン	5-5	竜巻に注意
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意
ダルシム	5-5	ヨガ戦互角
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ B エイキ（A.K.I.）視点（全30キャラ）
対戦キャラ	相性（エイキ視点）	備考
舞	*5-5*	データ不足
ブランカ	*5-5*	データ不足
JP	*5-5*	データ不足
リュウ	*5-5*	データ不足
エド	*5-5*	データ不足
豪鬼	*5-5*	データ不足
ベガ	*5-5*	データ不足
ルーク	*5-5*	データ不足
エレナ	*5-5*	データ不足
キャミィ	*5-5*	データ不足
ラシード	*5-5*	データ不足
テリー	*5-5*	データ不足
ガイル	*5-5*	データ不足
春麗	*5-5*	データ不足
C.バイパー	*5-5*	データ不足
ケン	*5-5*	データ不足
サガット	*5-5*	データ不足
DJ	*5-5*	データ不足
ジュリ	*5-5*	データ不足
キンバリー	*5-5*	データ不足
ザンギエフ	*5-5*	データ不足
ダルシム	*5-5*	データ不足
本田	*5-5*	データ不足
ジェイミー	*5-5*	データ不足
マノン	*5-5*	データ不足
マリーザ	*5-5*	データ不足
リリー	*5-5*	データ不足
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ B DJ（Dee Jay）視点（全30キャラ）
対戦キャラ	相性（DJ視点）	備考
舞	*5-5*	データ不足
ブランカ	*5-5*	データ不足
JP	*5-5*	データ不足
リュウ	*5-5*	データ不足
エド	*5-5*	データ不足
豪鬼	*5-5*	データ不足
ベガ	*5-5*	データ不足
ルーク	*5-5*	データ不足
エレナ	*5-5*	データ不足
キャミィ	*5-5*	データ不足
ラシード	*5-5*	データ不足
テリー	*5-5*	データ不足
ガイル	*5-5*	データ不足
春麗	*5-5*	データ不足
C.バイパー	*5-5*	データ不足
ケン	*5-5*	データ不足
サガット	*5-5*	データ不足
エイキ	*5-5*	データ不足
ジュリ	*5-5*	データ不足
キンバリー	*5-5*	データ不足
ザンギエフ	*5-5*	データ不足
ダルシム	*5-5*	データ不足
本田	*5-5*	データ不足
ジェイミー	*5-5*	データ不足
マノン	*5-5*	データ不足
マリーザ	*5-5*	データ不足
リリー	*5-5*	データ不足
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ B ジュリ（Juri）視点（全30キャラ）
対戦キャラ	相性（ジュリ視点）	備考
舞	4-6	置きに負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で不利
リュウ	4-6	波動合戦で負けがち
エド	4-6	速さで負ける
豪鬼	4-6	リスクリターンで負ける
ベガ	4-6	突進を止められない
ルーク	4-6	差し合いで負けがち
エレナ	*5-5*	データ不足
キャミィ	5-5	スピード勝負
ラシード	*5-5*	動き勝負
テリー	5-5	同タイプ
ガイル	5-5	ソニック戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
ケン	5-5	竜巻に注意
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
キンバリー	5-5	爆発力勝負
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	リーチでヨガを制す
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ B キンバリー（Kimberly）視点（全30キャラ）
対戦キャラ	相性（キンバリー視点）	備考
舞	4-6	置きに負けがち
ブランカ	4-6	すり抜けられやすい
JP	4-6	飛び道具戦で不利
リュウ	4-6	波動合戦で負けがち
エド	4-6	速さで負ける
豪鬼	4-6	リスクリターンで負ける
ベガ	4-6	突進を止められない
ルーク	4-6	差し合いで負けがち
エレナ	*5-5*	データ不足
キャミィ	5-5	スピード勝負
ラシード	*5-5*	動き勝負
テリー	5-5	同タイプ
ガイル	5-5	ソニック戦互角
春麗	5-5	同タイプ
C.バイパー	*5-5*	データ不足
ケン	5-5	竜巻に注意
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
ザンギエフ	5-5	張り手に注意
ダルシム	6-4	リーチでヨガを制す
本田	5-5	ヘッドバットに注意
ジェイミー	6-4	ドリンク前に削る
マノン	6-4	リーチ差で勝る
マリーザ	6-4	攻撃を置きで止める
リリー	6-4	コマンド投げ前に削る
アレックス	*5-5*	データ不足
イングリッド	*5-5*	データ不足
■ B ザンギエフ（Zangief）視点（全30キャラ）
対戦キャラ	相性（ザンギエフ視点）	備考
舞	6-4	張り手で近づいて投げゲーに持ち込める
ブランカ	5-5	ボールに張り手が間に合わないことも
JP	5-5	遠距離はキツいが捕まえたら勝ち
リュウ	4-6	波動を張り手で通り抜けられるが読み合い
エド	5-5	速さに押されがちだがパワーで逆転
豪鬼	5-5	読み合い
ベガ	4-6	突進を止められない
ルーク	5-5	張り手に注意すれば勝てる
エレナ	4-6	リーチで削られやすい
キャミィ	5-5	近距離で投げで返せる
ラシード	*4-6*	動きに合わせるのが難しい
テリー	5-5	読み合い
ガイル	5-5	ソニック戦互角
春麗	4-6	リーチで削られやすい
C.バイパー	*5-5*	データ不足
ケン	5-5	竜巻に注意
サガット	5-5	飛び道具戦互角
エイキ	*5-5*	毒に注意
DJ	*5-5*	リズム勝負
ジュリ	5-5	風水に注意
キンバリー	5-5	爆発力勝負
ダルシム	4-6	遠距離で削られやすい
本田	5-5	ヘッドバットに注意
ジェイミー	5-5	ドリンクに注意
マノン	6-4	投げ勝負で有利
マリーザ	6-4	パワー勝負で有利
リリー	6-4	投げ勝負で有利
アレックス	*5-5*	データ不足
